Stock,Stock Price,Market Capitalisation,Number of Shares to Buy,One-Year Price Return,One-Year Return Percentile,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,HQM Score,Trailing Price to Earnings Ratio
MMM,130.45,71037714432,N/A,0.5874338806828445,N/A,0.34240234175349804,N/A,0.00224515300081351,N/A,0.042064189210396424,N/A,N/A,13.645396
AOS,73.6,10671632384,N/A,-0.01993651007803719,N/A,-0.08247970653500607,N/A,-0.09019034431661525,N/A,-0.020495067902018098,N/A,N/A,19.419525
ABT,115.97,201145335808,N/A,0.1335344088289153,N/A,0.12337891218833931,N/A,0.016191823371485593,N/A,-0.01427965579336916,N/A,N/A,35.35671
ABBV,176.46,311829528576,N/A,0.2652036428992479,N/A,0.06485781233152238,N/A,-0.10026236636372714,N/A,-0.11976854928169439,N/A,N/A,63.247314
ACN,360.03,224966901760,N/A,0.08929414995271623,N/A,0.24453571314414213,N/A,0.05737530797076599,N/A,0.04690318810639703,N/A,N/A,31.443668
ADBE,536.49,236162891776,N/A,-0.10914611587254675,N/A,0.17104314120886194,N/A,-0.060503606326647315,N/A,0.11455280606068255,N/A,N/A,45.465252
AMD,143.99,233668411392,N/A,0.21633724734558232,N/A,-0.136647073666521,N/A,0.05148238230542098,N/A,0.023310305803642416,N/A,N/A,125.2087
AES,13.43,9549092864,N/A,-0.22060912625651427,N/A,-0.32683341555287865,N/A,-0.18970800806288649,N/A,-0.11818776075760944,N/A,N/A,9.326388
AFL,106.99,59435937792,N/A,0.3230417615859375,N/A,0.2222837334051069,N/A,-0.014636950661277244,N/A,0.028356581499208375,N/A,N/A,15.897473
A,140.2,39984058368,N/A,0.10377442037755007,N/A,0.05920638261914892,N/A,0.010529575883528241,N/A,0.00393846135019029,N/A,N/A,31.647856
APD,327.48,72824676352,N/A,0.28346183841632383,N/A,0.22984468072572645,N/A,0.1971308925358712,N/A,0.06988142022941879,N/A,N/A,19.006386
ABNB,139.07,86887038976,N/A,0.04008670269236413,N/A,-0.05394557823129256,N/A,0.20951466289563045,N/A,0.016073682774145337,N/A,N/A,48.288197
AKAM,98.3,14767314944,N/A,-0.1498010926754977,N/A,0.0919796008187403,N/A,-0.016606633650224953,N/A,-0.017393051775325193,N/A,N/A,29.08284
ALB,102.61,12060779520,N/A,-0.08095136953936177,N/A,-0.12452091576637875,N/A,0.22541282805421617,N/A,0.020284382135488544,N/A,N/A,
ARE,104.93,18337777664,N/A,-0.08569819112514536,N/A,-0.07853709044019537,N/A,-0.10437051050038057,N/A,-0.07133372879152854,N/A,N/A,63.98171
ALGN,235.29,17565128704,N/A,0.0925934215525376,N/A,-0.08611043342998935,N/A,0.03880794701986751,N/A,0.11628238619721695,N/A,N/A,40.151875
ALLE,141.07,12263116800,N/A,0.3568434435828017,N/A,0.20928438248942707,N/A,0.03315786015279509,N/A,0.011254480286738302,N/A,N/A,21.703077
LNT,61.78,15852686336,N/A,0.2499644057140414,N/A,0.2427606268356232,N/A,0.05943741133198713,N/A,0.07424798822969189,N/A,N/A,24.03891
ALL,204.95,54271377408,N/A,0.508775261106035,N/A,0.26820832051192106,N/A,0.08805319240284426,N/A,0.12880224173704866,N/A,N/A,13.248222
GOOGL,174.37,2143983763456,N/A,0.3344664154489881,N/A,-0.010910541228475887,N/A,0.10956643016331852,N/A,0.030311949541050758,N/A,N/A,23.156706
GOOG,176.09,2143983763456,N/A,0.33335177034094293,N/A,-0.010246974388987837,N/A,0.11166884115210483,N/A,0.03169678671416073,N/A,N/A,23.35411
MO,56.45,95672025088,N/A,0.4458713165307872,N/A,0.25976673163275094,N/A,0.06451946549688214,N/A,0.04769856868851523,N/A,N/A,9.616695
AMZN,218.16,2293952413696,N/A,0.48529406827061244,N/A,0.17924324324324323,N/A,0.23778723404255317,N/A,0.11431198978569887,N/A,N/A,45.640167
AMCR,10.47,15132710912,N/A,0.17459325236871948,N/A,0.055184153751416165,N/A,-0.05210698682509961,N/A,0.03933662498846223,N/A,N/A,19.754719
AEE,92.43,24672155648,N/A,0.2311015725601905,N/A,0.304393627402055,N/A,0.11869760721227052,N/A,0.0745175959902839,N/A,N/A,21.748236
AEP,96.25,51259379712,N/A,0.26302553146330865,N/A,0.10562055272439053,N/A,-0.04313989139938728,N/A,-0.0123142082314613,N/A,N/A,19.405241
AXP,302.6,213165064192,N/A,0.7941369901730095,N/A,0.304025599710462,N/A,0.1929955464180285,N/A,0.11995261581013622,N/A,N/A,22.217329
AIG,75.96,47381495808,N/A,0.17716994568424493,N/A,0.015503215346189194,N/A,0.004575589193331973,N/A,-0.0048473971201211125,N/A,N/A,15.101391
AMT,207.5,96962469888,N/A,0.018595613933901904,N/A,0.05641721220991432,N/A,-0.09272169547312913,N/A,-0.021734008755297612,N/A,N/A,50.0
AWK,131.01,25533061120,N/A,0.019905605644845087,N/A,0.014153639136853191,N/A,-0.08169847043711428,N/A,-0.02617962820283222,N/A,N/A,25.994047
AMP,561.42,54465933312,N/A,0.6142475307991996,N/A,0.32814864490522516,N/A,0.2740137358444153,N/A,0.10823349070939461,N/A,N/A,21.461008
AME,195.0,45105061888,N/A,0.2621172248732947,N/A,0.15976909382421542,N/A,0.1718652641779703,N/A,0.08381503993177306,N/A,N/A,34.031414
AMGN,278.26,149573943296,N/A,0.05832270099780138,N/A,-0.07606329405987661,N/A,-0.15135640406871337,N/A,-0.1149373226214949,N/A,N/A,35.583122
APH,74.4,89697386496,N/A,0.6432394395389245,N/A,0.14188240355378787,N/A,0.20488665881551582,N/A,0.09058925049419964,N/A,N/A,42.514286
ADI,218.3,108341633024,N/A,0.22386703935140953,N/A,-0.07687728227780329,N/A,-0.001874659143527793,N/A,-0.026272368871335532,N/A,N/A,66.75841
ANSS,361.45,31608803328,N/A,0.2942672475355199,N/A,0.1130785199130174,N/A,0.16966543540977366,N/A,0.11503577220081761,N/A,N/A,55.522274
AON,382.0,82613608448,N/A,0.1953707299869752,N/A,0.3422426026607281,N/A,0.10512312522292498,N/A,0.044743421661036224,N/A,N/A,32.6775
APA,22.2,8212824064,N/A,-0.33997014008573273,N/A,-0.22683010998572262,N/A,-0.1614341938522384,N/A,-0.05692442070567038,N/A,N/A,3.1534092
AAPL,243.01,3673290440704,N/A,0.262540126283318,N/A,0.2523599539944045,N/A,0.09205620359024394,N/A,0.09579463448187882,N/A,N/A,39.837704
AMAT,181.16,149349023744,N/A,0.24922773694471714,N/A,-0.17955343388538836,N/A,-0.009728740365969523,N/A,-0.001286885714766418,N/A,N/A,21.287897
APTV,56.41,13258380288,N/A,-0.3022881748345856,N/A,-0.30615008754565676,N/A,-0.19540722423455228,N/A,0.00858215076354641,N/A,N/A,6.2817373
